value,id
PN1-Bhojpur-Bhojpur_MCP-Ward_1,500
PN1-Bhojpur-Bhojpur_MCP-Ward_2,1000
PN1-Bhojpur-Bhojpur_MCP-Ward_3,250
PN1-Bhojpur-Bhojpur_MCP-Ward_4,5000
PN1-Bhojpur-Bhojpur_MCP-Ward_5,2000
PN1-Bhojpur-Bhojpur_MCP-Ward_6,1000
PN1-Bhojpur-Bhojpur_MCP-Ward_7,1000
PN1-Bhojpur-Bhojpur_MCP-Ward_8,500
PN1-Bhojpur-Bhojpur_MCP-Ward_9,1000
PN1-Bhojpur-Bhojpur_MCP-Ward_10,250
PN1-Bhojpur-Bhojpur_MCP-Ward_11,500
PN1-Bhojpur-Bhojpur_MCP-Ward_12,5000
PN1-Bhojpur-Shadanada_MCP-Ward_1,250
PN1-Bhojpur-Shadanada_MCP-Ward_2,500
PN1-Bhojpur-Shadanada_MCP-Ward_3,1000
PN1-Bhojpur-Shadanada_MCP-Ward_4,250
PN1-Bhojpur-Shadanada_MCP-Ward_5,1000
PN1-Bhojpur-Shadanada_MCP-Ward_6,2000
PN1-Bhojpur-Shadanada_MCP-Ward_7,250
PN1-Bhojpur-Shadanada_MCP-Ward_8,1000
PN1-Bhojpur-Shadanada_MCP-Ward_9,5000
PN1-Bhojpur-Shadanada_MCP-Ward_10,500
PN1-Bhojpur-Shadanada_MCP-Ward_11,5000
PN1-Bhojpur-Shadanada_MCP-Ward_12,250
PN1-Bhojpur-Shadanada_MCP-Ward_13,2000
PN1-Bhojpur-Shadanada_MCP-Ward_14,1000
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_1,250
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_2,1000
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_3,5000
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_4,500
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_5,500
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_6,2000
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_7,500
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_8,1000
PN1-Bhojpur-Tyamke_Maiyum_RM-Ward_9,5000
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_1,5000
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_2,500
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_3,5000
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_4,1000
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_5,2000
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_6,1000
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_7,250
PN1-Bhojpur-Ram_Prasad_Rai_RM-Ward_8,500
PN1-Bhojpur-Arun_RM-Ward_1,250
PN1-Bhojpur-Arun_RM-Ward_2,5000
PN1-Bhojpur-Arun_RM-Ward_3,250
PN1-Bhojpur-Arun_RM-Ward_4,1000
PN1-Bhojpur-Arun_RM-Ward_5,500
PN1-Bhojpur-Arun_RM-Ward_6,500
PN1-Bhojpur-Arun_RM-Ward_7,250
PN1-Bhojpur-PauwaDungama_RM-Ward_1,250
PN1-Bhojpur-PauwaDungama_RM-Ward_2,2000
PN1-Bhojpur-PauwaDungama_RM-Ward_3,1000
PN1-Bhojpur-PauwaDungama_RM-Ward_4,2000
PN1-Bhojpur-PauwaDungama_RM-Ward_5,250
PN1-Bhojpur-PauwaDungama_RM-Ward_6,500
PN1-Bhojpur-Salpasilichho_RM-Ward_1,2000
PN1-Bhojpur-Salpasilichho_RM-Ward_2,5000
PN1-Bhojpur-Salpasilichho_RM-Ward_3,1000
PN1-Bhojpur-Salpasilichho_RM-Ward_4,1000
PN1-Bhojpur-Salpasilichho_RM-Ward_5,500
PN1-Bhojpur-Salpasilichho_RM-Ward_6,2000
PN1-Bhojpur-Aamchok_RM-Ward_1,500
PN1-Bhojpur-Aamchok_RM-Ward_2,1000
PN1-Bhojpur-Aamchok_RM-Ward_3,250
PN1-Bhojpur-Aamchok_RM-Ward_4,500
PN1-Bhojpur-Aamchok_RM-Ward_5,250
PN1-Bhojpur-Aamchok_RM-Ward_6,500
PN1-Bhojpur-Aamchok_RM-Ward_7,250
PN1-Bhojpur-Aamchok_RM-Ward_8,1000
PN1-Bhojpur-Aamchok_RM-Ward_9,2000
PN1-Bhojpur-Aamchok_RM-Ward_10,500
PN1-Bhojpur-HatuwaGadhi_RM-Ward_1,250
PN1-Bhojpur-HatuwaGadhi_RM-Ward_2,500
PN1-Bhojpur-HatuwaGadhi_RM-Ward_3,1000
PN1-Bhojpur-HatuwaGadhi_RM-Ward_4,1000
PN1-Bhojpur-HatuwaGadhi_RM-Ward_5,1000
PN1-Bhojpur-HatuwaGadhi_RM-Ward_6,5000
PN1-Bhojpur-HatuwaGadhi_RM-Ward_7,500
PN1-Bhojpur-HatuwaGadhi_RM-Ward_8,2000
PN1-Bhojpur-HatuwaGadhi_RM-Ward_9,1000
PN1-Dhankuta-Pakhribas_MCP-Ward_1,500
PN1-Dhankuta-Pakhribas_MCP-Ward_2,2000
PN1-Dhankuta-Pakhribas_MCP-Ward_3,2000
PN1-Dhankuta-Pakhribas_MCP-Ward_4,1000
PN1-Dhankuta-Pakhribas_MCP-Ward_5,2000
PN1-Dhankuta-Pakhribas_MCP-Ward_6,5000
PN1-Dhankuta-Pakhribas_MCP-Ward_7,500
PN1-Dhankuta-Pakhribas_MCP-Ward_8,1000
PN1-Dhankuta-Pakhribas_MCP-Ward_9,250
PN1-Dhankuta-Pakhribas_MCP-Ward_10,250
PN1-Dhankuta-Dhankuta_MCP-Ward_1,500
PN1-Dhankuta-Dhankuta_MCP-Ward_2,2000
PN1-Dhankuta-Dhankuta_MCP-Ward_3,500
PN1-Dhankuta-Dhankuta_MCP-Ward_4,1000
PN1-Dhankuta-Dhankuta_MCP-Ward_5,500
PN1-Dhankuta-Dhankuta_MCP-Ward_6,1000
PN1-Dhankuta-Dhankuta_MCP-Ward_7,1000
PN1-Dhankuta-Dhankuta_MCP-Ward_8,500
PN1-Dhankuta-Dhankuta_MCP-Ward_9,5000
PN1-Dhankuta-Dhankuta_MCP-Ward_10,250
PN1-Dhankuta-Mahalaxmi_MCP-Ward_1,1000
PN1-Dhankuta-Mahalaxmi_MCP-Ward_2,1000
PN1-Dhankuta-Mahalaxmi_MCP-Ward_3,5000
PN1-Dhankuta-Mahalaxmi_MCP-Ward_4,1000
PN1-Dhankuta-Mahalaxmi_MCP-Ward_5,500
PN1-Dhankuta-Mahalaxmi_MCP-Ward_6,250
PN1-Dhankuta-Mahalaxmi_MCP-Ward_7,1000
PN1-Dhankuta-Mahalaxmi_MCP-Ward_8,500
PN1-Dhankuta-Mahalaxmi_MCP-Ward_9,1000
PN1-Dhankuta-SanguriGadhi_RM-Ward_1,500
PN1-Dhankuta-SanguriGadhi_RM-Ward_2,5000
PN1-Dhankuta-SanguriGadhi_RM-Ward_3,5000
PN1-Dhankuta-SanguriGadhi_RM-Ward_4,1000
PN1-Dhankuta-SanguriGadhi_RM-Ward_5,250
PN1-Dhankuta-SanguriGadhi_RM-Ward_6,5000
PN1-Dhankuta-SanguriGadhi_RM-Ward_7,500
PN1-Dhankuta-SanguriGadhi_RM-Ward_8,5000
PN1-Dhankuta-SanguriGadhi_RM-Ward_9,5000
PN1-Dhankuta-SanguriGadhi_RM-Ward_10,2000
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_1,5000
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_2,5000
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_3,5000
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_4,2000
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_5,250
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_6,5000
PN1-Dhankuta-Khalsa_Chhintaag_RM-Ward_7,1000
PN1-Dhankuta-Chhathat_Jorpati_RM-Ward_1,500
PN1-Dhankuta-Chhathat_Jorpati_RM-Ward_2,2000
PN1-Dhankuta-Chhathat_Jorpati_RM-Ward_3,250
PN1-Dhankuta-Chhathat_Jorpati_RM-Ward_4,1000
PN1-Dhankuta-Chhathat_Jorpati_RM-Ward_5,250
PN1-Dhankuta-Chhathat_Jorpati_RM-Ward_6,5000
PN1-Dhankuta-Chaubise_RM-Ward_1,1000
