id,value
Nepal,1
Nepal.PN1,1.1
Nepal.PN1.Bhojpur,1.2.1
Nepal.PN1.Bhojpur.Bhojpur MCP,1.2.2.2
Nepal.PN1.Bhojpur.Shadanada MCP,1.2.2.2
Nepal.PN1.Bhojpur.Tyamke Maiyum RM,1.2.2.2
Nepal.PN1.Bhojpur.Ram Prasad Rai RM,1.2.2.2
Nepal.PN1.Bhojpur.Arun RM,1.2.2.2
Nepal.PN1.Bhojpur.PauwaDungama RM,1.2.2.2
Nepal.PN1.Bhojpur.Salpasilichho RM,1.2.2.2
Nepal.PN1.Bhojpur.Aamchok RM,1.2.2.2
Nepal.PN1.Bhojpur.HatuwaGadhi RM,1.2.2.2
Nepal.PN1.Dhankuta,1.2.2
Nepal.PN1.Dhankuta.Pakhribas MCP,1.2.3.3
Nepal.PN1.Dhankuta.Dhankuta MCP,1.2.3.3
Nepal.PN1.Dhankuta.Mahalaxmi MCP,1.2.3.3
Nepal.PN1.Dhankuta.SanguriGadhi RM,1.2.3.3
Nepal.PN1.Dhankuta.Khalsa Chhintaag RM,1.2.3.3
Nepal.PN1.Dhankuta.Chhathat Jorpati RM,1.2.3.3
Nepal.PN1.Dhankuta.Chaubise RM,1.2.3.3
Nepal.PN1.Ilam,1.2.3
Nepal.PN1.Ilam.Ilam MCP,1.2.4.4
Nepal.PN1.Ilam.Deumai MCP,1.2.4.4
Nepal.PN1.Ilam.Mai MCP,1.2.4.4
Nepal.PN1.Ilam.Suryodaya MCP,1.2.4.4
Nepal.PN1.Ilam.Phakaphokthum RM,1.2.4.4
Nepal.PN1.Ilam.Chulachuli RM,1.2.4.4
Nepal.PN1.Ilam.Mai Jogmai RM,1.2.4.4
Nepal.PN1.Ilam.Mangsebung RM,1.2.4.4
Nepal.PN1.Ilam.Rong RM,1.2.4.4
Nepal.PN1.Ilam.Sandakpur RM,1.2.4.4
Nepal.PN1.Jhapa,1.2.4
Nepal.PN1.Jhapa.MechiNagar MCP,1.2.5.5
Nepal.PN1.Jhapa.Damak MCP,1.2.5.5
Nepal.PN1.Jhapa.Kankai MCP,1.2.5.5
Nepal.PN1.Jhapa.Bhadrapur MCP,1.2.5.5
Nepal.PN1.Jhapa.Arjundhara MCP,1.2.5.5
Nepal.PN1.Jhapa.ShivaSataxi MCP,1.2.5.5
Nepal.PN1.Jhapa.Gauradaha MCP,1.2.5.5
Nepal.PN1.Jhapa.Birtamod MCP,1.2.5.5
Nepal.PN1.Jhapa.Kamal RM,1.2.5.5
Nepal.PN1.Jhapa.Gaurigunj RM,1.2.5.5
Nepal.PN1.Jhapa.Barhadashi RM,1.2.5.5
Nepal.PN1.Jhapa.Jhapa RM,1.2.5.5
Nepal.PN1.Jhapa.BuddaShanti RM,1.2.5.5
Nepal.PN1.Jhapa.Haldibari RM,1.2.5.5
Nepal.PN1.Jhapa.Kanchankawal RM,1.2.5.5
Nepal.PN1.Khotang,1.2.5
Nepal.PN1.Khotang.Halesi Tuwachung MCP,1.2.6.6
Nepal.PN1.Khotang.Rupakot Majhuwagadhi MCP,1.2.6.6
Nepal.PN1.Khotang.Aiselukharka RM,1.2.6.6
Nepal.PN1.Khotang.Lamidanda RM,1.2.6.6
Nepal.PN1.Khotang.Jantedhunga RM,1.2.6.6
Nepal.PN1.Morang,1.2.6
Nepal.PN1.Morang.Biratnagar SMCP,1.2.7.7
Nepal.PN1.Morang.Belbari MCP,1.2.7.7
Nepal.PN1.Morang.Letang MCP,1.2.7.7
Nepal.PN1.Morang.Pathari-Sanishchare MCP,1.2.7.7
Nepal.PN1.Morang.Rangeli MCP,1.2.7.7
Nepal.PN1.Morang.Ratuwamai MCP,1.2.7.7
Nepal.PN1.Morang.Sunbarshi MCP,1.2.7.7
Nepal.PN1.Morang.Urlabari MCP,1.2.7.7
Nepal.PN1.Morang.SundarHaraincha MCP,1.2.7.7
Nepal.PN1.Morang.BudhiGanga RM,1.2.7.7
Nepal.PN1.Morang.Dhanpalthan RM,1.2.7.7
Nepal.PN1.Morang.Gramthan RM,1.2.7.7
Nepal.PN1.Morang.Jahada RM,1.2.7.7
Nepal.PN1.Morang.Kanepokhari RM,1.2.7.7
Nepal.PN1.Morang.Katahari RM,1.2.7.7
Nepal.PN1.Morang.Kerabari RM,1.2.7.7
Nepal.PN1.Morang.Miklajung RM,1.2.7.7
Nepal.PN1.Okhaldhunga,1.2.7
Nepal.PN1.Okhaldhunga.SiddiCharan MCP,1.2.8.8
Nepal.PN1.Okhaldhunga.Khiji Demba RM,1.2.8.8
Nepal.PN1.Okhaldhunga.Champadevi RM,1.2.8.8
Nepal.PN1.Okhaldhunga.ChishankhuGadhi RM,1.2.8.8
Nepal.PN1.Okhaldhunga.ManeBhanjyang RM,1.2.8.8
Nepal.PN1.Okhaldhunga.Molung RM,1.2.8.8
Nepal.PN1.Okhaldhunga.Likhu RM,1.2.8.8
Nepal.PN1.Okhaldhunga.Sunkoshi RM,1.2.8.8
Nepal.PN1.Panchthar,1.2.8
Nepal.PN1.Panchthar.Phidim MCP,1.2.9.9
Nepal.PN1.Panchthar.Phalelung RM,1.2.9.9
Nepal.PN1.Panchthar.Palgunanda RM,1.2.9.9
Nepal.PN1.Panchthar.Hilihang RM,1.2.9.9
Nepal.PN1.Panchthar.Kummayak RM,1.2.9.9
Nepal.PN1.Panchthar.Miklajung RM,1.2.9.9
Nepal.PN1.Panchthar.Tumbewa RM,1.2.9.9
Nepal.PN1.Panchthar.Yangbarak,1.2.9.9
Nepal.PN1.Sankhauasabha,1.2.9
Nepal.PN1.Sankhauasabha.Chainpur MCP,1.2.10.10
Nepal.PN1.Sankhauasabha.DharmaDevi MCP,1.2.10.10
Nepal.PN1.Sankhauasabha.Khadbari MCP,1.2.10.10
Nepal.PN1.Sankhauasabha.Madi MCP,1.2.10.10
Nepal.PN1.Sankhauasabha.PanchKhapan MCP,1.2.10.10
Nepal.PN1.Sankhauasabha.Bhot Khola RM,1.2.10.10
Nepal.PN1.Sankhauasabha.Chichila RM,1.2.10.10
Nepal.PN1.Sankhauasabha.Makalu RM,1.2.10.10
Nepal.PN1.Sankhauasabha.Sabhapokhari RM,1.2.10.10
Nepal.PN1.Sankhauasabha.Silingchong RM,1.2.10.10
Nepal.PN1.Solukhumbu,1.2.10
Nepal.PN1.Solukhumbu.SoluDudhakund MCP,1.2.11.11
Nepal.PN1.Solukhumbu.Dudhakoshi RM,1.2.11.11
Nepal.PN1.Solukhumbu.Khumbu PasangLhamu RM,1.2.11.11
Nepal.PN1.Solukhumbu.Dudhakaushika RM,1.2.11.11
Nepal.PN1.Solukhumbu.Necha Salyan RM,1.2.11.11
Nepal.PN1.Solukhumbu.Maha Kulung RM,1.2.11.11
Nepal.PN1.Solukhumbu.Likhu Pike RM,1.2.11.11
Nepal.PN1.Solukhumbu.Sotang RM,1.2.11.11
Nepal.PN1.Sunsari,1.2.11
Nepal.PN1.Sunsari.Itahari SMCP,1.2.12.12
Nepal.PN1.Sunsari.Dharan SMCP,1.2.12.12
Nepal.PN1.Sunsari.Inaruwa MCP,1.2.12.12
Nepal.PN1.Sunsari.Duhabi MCP,1.2.12.12
Nepal.PN1.Sunsari.Ramdhuni MCP,1.2.12.12
Nepal.PN1.Sunsari.Baraha MCP,1.2.12.12
Nepal.PN1.Sunsari.Dewangunj RM,1.2.12.12
Nepal.PN1.Sunsari.Koshi RM,1.2.12.12
Nepal.PN1.Sunsari.Gadhi RM,1.2.12.12
Nepal.PN1.Sunsari.Barju RM,1.2.12.12
Nepal.PN1.Sunsari.Bhokraha RM,1.2.12.12
Nepal.PN1.Sunsari.Harinagara RM,1.2.12.12
Nepal.PN1.Taplejung,1.2.12
Nepal.PN1.Taplejung.Phunling MCP,1.2.13.13
Nepal.PN1.Taplejung.Aatharai Triveni RM,1.2.13.13
Nepal.PN1.Taplejung.Sidingawa RM,1.2.13.13
Nepal.PN1.Taplejung.Phakatanglung RM,1.2.13.13
Nepal.PN1.Taplejung.Mikwa Khola RM,1.2.13.13
Nepal.PN1.Taplejung.Meringden RM,1.2.13.13
Nepal.PN1.Taplejung.Maiwa Khola RM,1.2.13.13
Nepal.PN1.Taplejung.Yangbarak RM,1.2.13.13
Nepal.PN1.Taplejung.Sirijunga RM,1.2.13.13
