id,value
profession,1
profession.Management Occupations,1.1
profession.Management Occupations.Chief Executives,1.1.1
profession.Management Occupations.General and Operations Managers,1.1.2
profession.Management Occupations.Legislators,1.1.3
profession.Management Occupations.Advertising and Promotions Managers,1.1.4
profession.Management Occupations.Marketing Managers,1.1.5
profession.Management Occupations.Sales Managers,1.1.6
profession.Management Occupations.Public Relations Managers,1.1.7
profession.Management Occupations.Fundraising Managers,1.1.8
profession.Management Occupations.Administrative Services Managers,1.1.9
profession.Management Occupations.Facilities Managers,1.1.10
profession.Management Occupations.Computer and Information Systems Managers,1.1.11
profession.Management Occupations.Financial Managers,1.1.12
profession.Management Occupations.Industrial Production Managers,1.1.13
profession.Management Occupations.Purchasing Managers,1.1.14
"profession.Management Occupations.Transportation, Storage, and Distribution Managers",1.1.15
profession.Management Occupations.Compensation and Benefits Managers,1.1.16
profession.Management Occupations.Human Resources Managers,1.1.17
profession.Management Occupations.Training and Development Managers,1.1.18
profession.Management Occupations.Other Management Occupations,1.1.19
"profession.Management Occupations.Farmers, Ranchers, and Other Agricultural Managers",1.1.20
"profession.Management Occupations.Farmers, Ranchers, and Other Agricultural Managers",1.1.21
profession.Management Occupations.Construction Managers,1.1.22
profession.Management Occupations.Construction Managers,1.1.23
profession.Management Occupations.Education and Childcare Administrators,1.1.24
"profession.Management Occupations.Education and Childcare Administrators, Preschool and Daycare",1.1.25
"profession.Management Occupations.Education Administrators, Kindergarten through Secondary",1.1.26
"profession.Management Occupations.Education Administrators, Postsecondary",1.1.27
"profession.Management Occupations.Education Administrators, All Other",1.1.28
profession.Management Occupations.Architectural and Engineering Managers,1.1.29
profession.Management Occupations.Architectural and Engineering Managers,1.1.30
profession.Management Occupations.Food Service Managers,1.1.31
profession.Management Occupations.Food Service Managers,1.1.32
profession.Management Occupations.Entertainment and Recreation Managers,1.1.33
profession.Management Occupations.Gambling Managers,1.1.34
"profession.Management Occupations.Entertainment and Recreation Managers, Except Gambling",1.1.35
profession.Management Occupations.Lodging Managers,1.1.36
profession.Management Occupations.Lodging Managers,1.1.37
profession.Management Occupations.Medical and Health Services Managers,1.1.38
profession.Management Occupations.Medical and Health Services Managers,1.1.39
profession.Management Occupations.Natural Sciences Managers,1.1.40
profession.Management Occupations.Natural Sciences Managers,1.1.41
profession.Management Occupations.Postmasters and Mail Superintendents,1.1.42
profession.Management Occupations.Postmasters and Mail Superintendents,1.1.43
"profession.Management Occupations.Property, Real Estate, and Community Association Managers",1.1.44
"profession.Management Occupations.Property, Real Estate, and Community Association Managers",1.1.45
profession.Management Occupations.Social and Community Service Managers,1.1.46
profession.Management Occupations.Social and Community Service Managers,1.1.47
profession.Management Occupations.Emergency Management Directors,1.1.48
profession.Management Occupations.Emergency Management Directors,1.1.49
profession.Management Occupations.Personal Service Managers,1.1.50
profession.Management Occupations.Funeral Home Managers,1.1.51
"profession.Management Occupations.Personal Service Managers, All Other",1.1.52
profession.Management Occupations.Miscellaneous Managers,1.1.53
"profession.Management Occupations.Managers, All Other",1.1.54
profession.Business and Financial Operations Occupations,1.2
"profession.Business and Financial Operations Occupations.Agents and Business Managers of Artists, Performers, and Athletes",1.2.1
"profession.Business and Financial Operations Occupations.Buyers and Purchasing Agents, Farm Products",1.2.2
"profession.Business and Financial Operations Occupations.Wholesale and Retail Buyers, Except Farm Products",1.2.3
"profession.Business and Financial Operations Occupations.Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.2.4
"profession.Business and Financial Operations Occupations.Claims Adjusters, Examiners, and Investigators",1.2.5
"profession.Business and Financial Operations Occupations.Insurance Appraisers, Auto Damage",1.2.6
profession.Business and Financial Operations Occupations.Compliance Officers,1.2.7
profession.Business and Financial Operations Occupations.Cost Estimators,1.2.8
profession.Business and Financial Operations Occupations.Human Resources Specialists,1.2.9
profession.Business and Financial Operations Occupations.Farm Labor Contractors,1.2.10
profession.Business and Financial Operations Occupations.Labor Relations Specialists,1.2.11
profession.Business and Financial Operations Occupations.Logisticians,1.2.12
profession.Business and Financial Operations Occupations.Project Management Specialists,1.2.13
profession.Business and Financial Operations Occupations.Management Analysts,1.2.14
"profession.Business and Financial Operations Occupations.Meeting, Convention, and Event Planners",1.2.15
profession.Business and Financial Operations Occupations.Fundraisers,1.2.16
"profession.Business and Financial Operations Occupations.Compensation, Benefits, and Job Analysis Specialists",1.2.17
profession.Business and Financial Operations Occupations.Training and Development Specialists,1.2.18
profession.Business and Financial Operations Occupations.Market Research Analysts and Marketing Specialists,1.2.19
profession.Business and Financial Operations Occupations.Miscellaneous Business Operations Specialists,1.2.20
"profession.Business and Financial Operations Occupations.Business Operations Specialists, All Other",1.2.21
profession.Business and Financial Operations Occupations.Financial Specialists,1.2.22
profession.Business and Financial Operations Occupations.Accountants and Auditors,1.2.23
profession.Business and Financial Operations Occupations.Accountants and Auditors,1.2.24
profession.Business and Financial Operations Occupations.Property Appraisers and Assessors,1.2.25
profession.Business and Financial Operations Occupations.Appraisers of Personal and Business Property,1.2.26
profession.Business and Financial Operations Occupations.Appraisers and Assessors of Real Estate,1.2.27
profession.Business and Financial Operations Occupations.Budget Analysts,1.2.28
profession.Business and Financial Operations Occupations.Budget Analysts,1.2.29
profession.Business and Financial Operations Occupations.Credit Analysts,1.2.30
profession.Business and Financial Operations Occupations.Credit Analysts,1.2.31
profession.Business and Financial Operations Occupations.Financial Analysts and Advisors,1.2.32
profession.Business and Financial Operations Occupations.Financial and Investment Analysts,1.2.33
profession.Business and Financial Operations Occupations.Personal Financial Advisors,1.2.34
profession.Business and Financial Operations Occupations.Insurance Underwriters,1.2.35
profession.Business and Financial Operations Occupations.Financial Risk Specialists,1.2.36
profession.Business and Financial Operations Occupations.Financial Examiners,1.2.37
